avg_profit,avg_cvar,risk_adj_return,max_cvar,min_profit,max_profit,n_agents,episode,avg_compliance,profit_growth_pct,compliance_delta,rolling_profit,rolling_cvar,rolling_compliance
4448509.6814134,2002082.641348014,2.2219410875147343,2969054.280755655,1522541.1381409685,6194119.139079262,5,1,0.85,0.0,0.0,4448509.6814134,2002082.641348014,0.85
3573189.591069585,2039510.901498158,1.7519835703957674,3164461.6831196006,1192321.6326966137,5602557.47177115,5,2,0.85,-19.676704178054173,0.0,4010849.636241493,2020796.771423086,0.85
5821236.139486604,3787691.962991392,1.5368821425720298,5017095.384231364,1703133.9137286092,8385519.600896061,5,3,0.85,62.914281235888666,0.0,4614311.803989863,2609761.8352791877,0.85
5658023.395509892,2179717.355794725,2.5957601248003925,3884599.305392021,3836963.902403336,7964980.402075904,5,4,0.85,-2.803747177847804,0.0,5017483.042022027,2668973.406761425,0.85
4148624.985130547,3134563.8363066977,1.3235094902445326,5540911.155333692,-479748.9091538312,6495850.914353377,5,5,0.85,-26.677132717004614,0.0,5209294.840042348,3033991.0516976044,0.85
5409469.694677499,2563329.1515037445,2.1103297216051993,4271779.900048143,3675144.3208066146,6120180.278455177,5,6,0.85,30.391869934401328,0.0,5072039.358439312,2625870.1145350556,0.85
4093542.19956757,1930025.586462221,2.1209782027133643,3261419.4405308235,1247575.1452344563,7062668.879751351,5,7,0.85,-24.32636782131713,0.0,4550545.626458539,2542639.5247575543,0.85
6344676.104085725,2086169.852832991,3.0413037056722385,4672400.450512506,5024149.1978412615,6986595.102795908,5,8,0.85,54.99232192490793,0.0,5282562.666110264,2193174.863599652,0.85
6963645.183644158,2032638.384932629,3.4259144347859687,3155485.687484357,5132870.937849022,9683341.72563457,5,9,0.85,9.755723844749786,0.0,5800621.162432484,2016277.9414092805,0.85
5564090.097509855,3903174.432171849,1.4255294489650556,5731284.970132416,4294748.830444793,6952886.038436328,5,10,0.85,-20.09802408401714,0.0,6290803.795079913,2673994.2233124897,0.85
3086734.142973012,2851575.5306056165,1.0824662050303013,4712846.337091589,839531.3740638914,4561877.010974473,5,11,0.85,-44.52400861814865,0.0,5204823.141375675,2929129.4492366984,0.85
4988823.434400047,3915166.4223263846,1.274230236025171,4808589.356504194,4049847.8880474754,7104361.307085983,5,12,0.85,61.62141614162544,0.0,4546549.224960971,3556638.7950346167,0.85
5210485.170372484,3230845.238045718,1.612731278184839,4587622.902352005,446500.9628139069,8569917.203981047,5,13,0.85,4.443166588017244,0.0,4428680.915915181,3332529.0636592396,0.85
4522780.221617479,1814203.79126741,2.4929835575171815,3416423.295687245,1228464.7677446385,7192175.902499026,5,14,0.85,-13.198482027458546,0.0,4907362.942130003,2986738.4838798377,0.85
4432029.328845228,2278489.231662791,1.9451614110148268,3210205.7920469716,1641464.3234241554,9654641.71753195,5,15,0.85,-2.00652891198404,0.0,4721764.906945064,2441179.4203253067,0.85
4562250.41179117,2081437.3218889013,2.191874991291471,4204230.983328681,1837473.9233167977,8248693.295462662,5,16,0.85,2.938181886532587,0.0,4505686.654084626,2058043.448273034,0.85
3489549.8228654177,3438867.197596831,1.0147381746241875,4372282.732696732,980800.8953541508,5711812.0947617795,5,17,0.85,-23.51253202045529,0.0,4161276.5211672713,2599597.917049508,0.85
4637284.198700873,3410167.4267546507,1.3598406231663152,5243861.190266509,2642108.7389542926,6187795.310723687,5,18,0.85,32.890614379966124,0.0,4229694.811119153,2976823.9820801276,0.85
5445564.147552921,3710600.210456192,1.4675696218111196,5457297.971593376,2946147.7381467046,8290489.576726361,5,19,0.85,17.43002831438467,0.0,4524132.723039737,3519878.2782692243,0.85
6025181.176489964,2397521.844940306,2.51308708164762,5888993.0211110255,4043167.645542353,10256071.858758926,5,20,0.85,10.643838052986766,0.0,5369343.17424792,3172763.1607170496,0.85
5927135.7675731685,2259712.1368651297,2.6229605403603253,3770239.7346496056,3699454.094298764,8133498.124935713,5,21,0.85,-1.6272607585538723,0.0,5799293.697205351,2789278.0640872098,0.85
4196226.818448966,2779570.336482068,1.5096674343410803,5066405.45000433,2496190.6126906276,7579125.096898671,5,22,0.85,-29.203126383469247,0.0,5382847.920837366,2478934.772762501,0.85
6205186.141276585,3620764.2861420945,1.7137779901951211,6797033.867794139,4114782.142271052,9566600.250534568,5,23,0.85,47.87537494386878,0.0,5442849.57576624,2886682.2531630974,0.85
5463801.980775335,3752505.675033005,1.45604096407551,4880006.359204704,4002032.673644096,6514588.4612668725,5,24,0.85,-11.947814998966756,0.0,5288404.980166961,3384280.099219056,0.85
4540500.838657999,3421823.8204659782,1.3269242009187823,5758875.340609433,2555870.588226028,6969009.956843033,5,25,0.85,-16.89851032973042,0.0,5403162.986903306,3598364.593880359,0.85
2830847.8262917036,3518171.53440146,0.8046361010571095,5263296.267568277,-149744.73304088973,5894303.221985469,5,26,0.85,-37.65340153249712,0.0,4278383.548575013,3564167.0099668144,0.85
5018960.742937929,2643481.722205778,1.8986175318617682,4203922.370183212,2362051.9951519053,7504316.218665222,5,27,0.85,77.2953210809839,0.0,4130103.1359625435,3194492.3590244055,0.85
4248417.369270353,1677612.9402954187,2.532418096703341,2008351.402784264,-1738340.774651222,7811966.022440363,5,28,0.85,-15.352647951108034,0.0,4032741.9794999943,2613088.7323008855,0.85
5831814.771202223,2261396.1268215487,2.578855912076056,3575223.790230544,4808268.841326168,8475344.683415698,5,29,0.85,37.27028830512038,0.0,5033064.294470169,2194163.596440915,0.85
4407591.9741348885,1538480.0044073244,2.8649003961738067,2025189.4209955768,2506102.031234137,6621073.293233614,5,30,0.85,-24.421605502633838,0.0,4829274.704869155,1825829.6905080974,0.85
5488579.586167013,3010455.311875397,1.8231725827366687,5356421.352715816,2681491.213959418,7854638.046688056,5,31,0.85,24.52558263958402,0.0,5242662.110501375,2270110.4810347566,0.85
3813524.710009019,2955768.5268695327,1.290197346423013,5929957.929747768,1304038.4347882406,6719797.6495607775,5,32,0.85,-30.518913862152452,0.0,4569898.756770306,2501567.947717418,0.85
4407668.345550972,3088747.2987936256,1.4270084015196232,3994632.533965733,2366845.6605403125,7187534.011504931,5,33,0.85,15.579907846999319,0.0,4569924.213909001,3018323.712512851,0.85
3857325.468153293,2940841.7960016397,1.3116399098368332,4160722.2224408984,2138298.885131579,6663302.9998286925,5,34,0.85,-12.486031939158638,0.0,4026172.841237761,2995119.2072215993,0.85
4899148.05465629,2940969.8285672166,1.6658273767607452,4027385.520532812,3888655.9364687814,6302147.941823196,5,35,0.85,27.008936505473933,0.0,4388047.289453518,2990186.3077874943,0.85
6221453.331763897,2271277.5416969075,2.739186742943362,4487500.820807152,5146373.447395245,7266702.7092675725,5,36,0.85,26.990514725327607,0.0,4992642.284857825,2717696.388755255,0.85
3576816.7484689355,2577745.0763218985,1.3875758240497515,4328290.532120545,1491620.8900952032,7139012.813071828,5,37,0.85,-42.50834077292931,0.0,4899139.378296374,2596664.1488620075,0.85
5314174.250567922,3332723.1582949595,1.594544160483192,5018205.386961834,2236566.826213997,8830995.080603236,5,38,0.85,48.572728889246754,0.0,5037481.443600251,2727248.5921045886,0.85
6665142.398607764,2575593.7412775094,2.5878081204294388,3942229.882492231,3822040.434069536,9341595.979873268,5,39,0.85,25.421976855491057,0.0,5185377.799214873,2828687.3252981226,0.85
4466320.628989793,3829437.844306433,1.1663123441549272,4867756.438593831,2786014.5098167644,5812530.85957643,5,40,0.85,-32.98986935488831,0.0,5481879.092721826,3245918.2479596343,0.85
4468312.438536205,2313468.5445634564,1.9314342738891355,3188740.645460167,1399731.766555112,5859427.997079804,5,41,0.85,0.04459620595718139,0.0,5199925.155377921,2906166.7100491333,0.85
6051031.353809048,3861517.178664684,1.5670087879551875,5406842.201729292,4830156.260419596,8149718.635300974,5,42,0.85,35.42095448883455,0.0,4995221.473778348,3334807.8558448576,0.85
5500866.112008243,1909094.8434494853,2.8814001205230926,5171906.2536758445,2733302.586005199,9397076.491101192,5,43,0.85,-9.092090416197951,0.0,5340069.968117832,2694693.522225875,0.85
5050486.378224172,2798492.0284962123,1.8047170857714676,4664427.266250262,3405987.7844294785,7473232.036051057,5,44,0.85,-8.187433117139575,0.0,5534127.948013821,2856368.0168701275,0.85
3798687.210934843,2464065.858075565,1.541633799471608,5041978.340597132,1328023.850356524,6194104.7102950495,5,45,0.85,-24.785715147884048,0.0,4783346.567055752,2390550.9100070875,0.85
6767797.445618929,2769921.691042962,2.4433172488238104,3229388.759097849,4511957.640546688,9556137.211826991,5,46,0.85,78.16148237046869,0.0,5205657.011592648,2677493.1925382465,0.85
5032777.77698307,2196048.9220003863,2.2917421039948462,3431497.870709352,2152330.350817741,9648977.77881632,5,47,0.85,-25.636400654381408,0.0,5199754.14451228,2476678.8237063047,0.85
4829198.240224038,3055264.3590460266,1.5806155123448378,3915914.7445781617,1280940.7270035492,10179811.91496019,5,48,0.85,-4.045073034817548,0.0,5543257.820942012,2673744.9906964586,0.85
5976076.505105549,3067930.44265999,1.9479178608502477,4059527.019283785,3939495.9674995327,9427809.722074158,5,49,0.85,23.748833819427205,0.0,5279350.840770885,2773081.2412354676,0.85
4859045.398358541,3708381.944407083,1.310287201048845,4975087.516486386,2123778.1707570287,6869486.492687095,5,50,0.85,-18.691713631722973,0.0,5221440.047896042,3277192.2487043664,0.85
